id,text,date,category
conv-0113,Notification emails are not arriving. I checked spam and they are not there either.,2026-09-14,notifications
conv-0060,Trying to export a filtered view gives me an empty file with only headers. My account ID is ACCT-93737.,2026-08-25,export
conv-0120,Notification emails are not arriving. I checked spam and they are not there either.,2026-09-24,notifications
conv-0080,Our dashboard hangs on load for close to a minute before anything appears. Ticket reference TKT-930668 if that helps.,2026-08-28,dashboard
conv-0051,"The export button does nothing when I click it. No file, no error, nothing happens at all.",2026-08-08,export
conv-0180,There is no clear way to see our seat count versus what we are paying for.,2026-09-28,billing
conv-0130,"Hello — Sarah Dubois here. Email notifications arrive hours late, if they arrive at all.",2026-07-25,notifications
conv-0022,"Hi, I'm Raj Patel from Northwind Logistics. Exporting my board to CSV silently fails every single time. I've tried three browsers. Ticket reference TKT-167357 if that helps.",2026-07-25,export
conv-0127,This is Diego at Bluepeak Health. Notification emails are not arriving. I checked spam and they are not there either. Call me on 555-461-8578 if easier.,2026-07-27,notifications
conv-0177,This is Marcus at Corvid Analytics. I cannot find where to update our payment card in the billing section.,2026-08-28,billing
conv-0193,Just wanted to say the new timeline view is genuinely excellent. Thank you. Ticket reference TKT-760198 if that helps.,2026-08-19,misc
conv-0184,Billing settings are impossible to navigate. I gave up and emailed support. Call me on 555-622-9791 if easier.,2026-07-21,billing
conv-0025,This is Diego at Bluepeak Health. Export to Excel produces a zero-byte file. Opening it just gives an error. My account ID is ACCT-68760.,2026-07-05,export
conv-0035,Export to Excel produces a zero-byte file. Opening it just gives an error.,2026-09-19,export
conv-0007,The export feature stopped working after the last update. It worked fine before that. Ticket reference TKT-954087 if that helps.,2026-09-15,export
conv-0154,Hello — Raj Nakamura here. Orbin crashes on my iPhone whenever I open a project with attachments. Ticket reference TKT-118586 if that helps.,2026-09-18,mobile
conv-0195,Does Orbin support single sign-on with Okta on the team plan? Ticket reference TKT-615158 if that helps.,2026-09-05,misc
conv-0034,"Hi, I'm Marcus Nakamura from Northwind Logistics. CSV export has been broken for us all week. This blocks the weekly report I send to my director.",2026-09-13,export
conv-0129,"Our team is not getting any notification emails, so deadlines are being missed. Ticket reference TKT-374952 if that helps.",2026-08-03,notifications
conv-0197,Can we change the default view for new projects at the workspace level?,2026-07-27,misc
conv-0061,This is Chloe at Corvid Analytics. The dashboard takes over thirty seconds to load every morning. It used to be instant.,2026-09-07,dashboard
conv-0057,This is Marcus at Northwind Logistics. The export feature stopped working after the last update. It worked fine before that. Call me on 555-696-4405 if easier.,2026-08-05,export
conv-0045,"Hi, I'm Tom Silva from Northwind Logistics. Export to Excel produces a zero-byte file. Opening it just gives an error.",2026-07-30,export
conv-0123,"This is Marcus at Vertex Media. Email notifications arrive hours late, if they arrive at all.",2026-09-13,notifications
conv-0145,"Hello — Elena Chen here. Mobile app is unusable. It crashes within seconds of opening, every time.",2026-08-23,mobile
conv-0063,This is Ben at Bluepeak Health. Loading the main dashboard is painfully slow and often times out completely.,2026-09-12,dashboard
conv-0182,I cannot find where to update our payment card in the billing section. Ticket reference TKT-448711 if that helps.,2026-09-15,billing
conv-0111,Mention notifications never send. People assume I am ignoring them.,2026-08-21,notifications
conv-0003,"I click Export and the spinner runs forever, then stops without producing a download.",2026-07-15,export
conv-0185,Hello — Chloe Chen here. There is no clear way to see our seat count versus what we are paying for. Call me on 555-550-3979 if easier.,2026-08-07,billing
conv-0106,Hello — Sarah Novak here. Notification emails are not arriving. I checked spam and they are not there either.,2026-07-29,notifications
conv-0164,"Hi, I'm Chloe Novak from Bluepeak Health. The iPhone app force-closes when switching between workspaces. My account ID is ACCT-75320.",2026-07-11,mobile
conv-0067,Hello — Aisha Chen here. Every morning the dashboard spins for ages before showing any of our data. My account ID is ACCT-86627.,2026-09-30,dashboard
conv-0013,"Hi, I'm Priya Silva from Bluepeak Health. I click Export and the spinner runs forever, then stops without producing a download. You can reach me at priya.silva@bluepeak.com.",2026-08-08,export
conv-0169,"Hi, I'm Aisha Nakamura from Corvid Analytics. Mobile app is unusable. It crashes within seconds of opening, every time.",2026-08-07,mobile
conv-0028,I cannot export any of my project data. The download never starts.,2026-09-16,export
conv-0179,Billing settings are impossible to navigate. I gave up and emailed support.,2026-07-02,billing
conv-0054,CSV export has been broken for us all week. This blocks the weekly report I send to my director.,2026-09-27,export
conv-0015,Hello — Diego Dubois here. Export to Excel produces a zero-byte file. Opening it just gives an error. Ticket reference TKT-423379 if that helps.,2026-07-09,export
conv-0079,Loading the main dashboard is painfully slow and often times out completely. Ticket reference TKT-555417 if that helps.,2026-07-16,dashboard
conv-0006,Hello — Marcus Patel here. Every export attempt fails without telling me why. There is no error message anywhere.,2026-08-09,export
conv-0097,Hello — Marcus Okafor here. The overview page is extremely slow since we passed fifty active projects. Call me on 555-821-1840 if easier.,2026-07-03,dashboard
conv-0117,This is Sarah at Northwind Logistics. I have notifications switched on but nothing ever reaches my inbox.,2026-08-08,notifications
conv-0048,I cannot export any of my project data. The download never starts. Call me on 555-643-6643 if easier.,2026-08-28,export
conv-0172,I cannot find where to update our payment card in the billing section. You can reach me at aisha.chen@vertex.com.,2026-08-25,billing
conv-0091,Every morning the dashboard spins for ages before showing any of our data. Ticket reference TKT-803011 if that helps.,2026-07-17,dashboard
conv-0194,"Hi, I'm Sarah Okafor from Corvid Analytics. How do I archive a project without deleting its history? You can reach me at sarah.okafor@corvid.com.",2026-09-11,misc
conv-0147,The iOS app crashes immediately on launch since the latest update. My account ID is ACCT-85880.,2026-08-26,mobile
conv-0014,CSV export has been broken for us all week. This blocks the weekly report I send to my director. Ticket reference TKT-726310 if that helps.,2026-08-17,export
conv-0150,App crashes on iOS 18 as soon as I tap into the board view. You can reach me at aisha.hansen@bluepeak.com.,2026-09-07,mobile
conv-0081,The overview page is extremely slow since we passed fifty active projects.,2026-07-04,dashboard
conv-0085,Hello — Chloe Dubois here. The dashboard takes over thirty seconds to load every morning. It used to be instant. Call me on 555-629-3568 if easier.,2026-08-25,dashboard
conv-0174,This is Tom at Bluepeak Health. Billing settings are impossible to navigate. I gave up and emailed support. Ticket reference TKT-964098 if that helps.,2026-07-17,billing
conv-0066,Dashboard load times have roughly tripled in the last month for our whole team.,2026-08-20,dashboard
conv-0018,Hello — Tom Dubois here. I cannot export any of my project data. The download never starts. Call me on 555-454-8099 if easier.,2026-08-29,export
conv-0002,Exporting my board to CSV silently fails every single time. I've tried three browsers. You can reach me at diego.nakamura@northwind.com.,2026-08-28,export
conv-0088,Our dashboard hangs on load for close to a minute before anything appears. Ticket reference TKT-488645 if that helps.,2026-08-10,dashboard
conv-0189,Billing settings are impossible to navigate. I gave up and emailed support. You can reach me at diego.novak@northwind.com.,2026-07-11,billing
conv-0100,Performance on the dashboard is bad enough that people have stopped using it. You can reach me at tom.chen@corvid.com.,2026-09-05,dashboard
conv-0160,Orbin crashes on my iPhone whenever I open a project with attachments.,2026-08-20,mobile
conv-0140,Hello — Elena Silva here. Digest emails simply stopped. Nothing changed in our settings.,2026-08-11,notifications
conv-0114,I stopped receiving email alerts about task assignments roughly two weeks ago.,2026-07-27,notifications
conv-0167,"Hi, I'm Chloe Patel from Northwind Logistics. The mobile app closes itself every time I try to add a comment.",2026-07-31,mobile
conv-0183,The invoice page shows a different amount from what we were charged.,2026-07-06,billing
conv-0134,Notification emails are not arriving. I checked spam and they are not there either. You can reach me at chloe.novak@bluepeak.com.,2026-07-25,notifications
conv-0198,"Hi, I'm Marcus Chen from Vertex Media. Just wanted to say the new timeline view is genuinely excellent. Thank you.",2026-08-12,misc
conv-0017,Hello — Tom Silva here. The export feature stopped working after the last update. It worked fine before that. My account ID is ACCT-82966.,2026-09-16,export
conv-0012,This is Raj at Bluepeak Health. Exporting my board to CSV silently fails every single time. I've tried three browsers.,2026-08-24,export
conv-0092,Hello — Priya Silva here. Performance on the dashboard is bad enough that people have stopped using it.,2026-07-04,dashboard
conv-0009,Export silently does nothing for boards with more than about 200 items. My account ID is ACCT-61152.,2026-08-14,export
conv-0139,"Hi, I'm Tom Nakamura from Northwind Logistics. Mention notifications never send. People assume I am ignoring them.",2026-08-15,notifications
conv-0135,This is Aisha at Corvid Analytics. I stopped receiving email alerts about task assignments roughly two weeks ago.,2026-09-28,notifications
conv-0109,"This is Aisha at Northwind Logistics. Email notifications arrive hours late, if they arrive at all. My account ID is ACCT-10890.",2026-08-29,notifications
conv-0187,I cannot find where to update our payment card in the billing section. My account ID is ACCT-54309.,2026-08-29,billing
conv-0011,"Hi, I'm Tom Nakamura from Corvid Analytics. The export button does nothing when I click it. No file, no error, nothing happens at all. Ticket reference TKT-680943 if that helps.",2026-09-28,export
conv-0159,The iOS app crashes immediately on launch since the latest update.,2026-08-16,mobile
conv-0027,This is Marcus at Vertex Media. The export feature stopped working after the last update. It worked fine before that.,2026-09-28,export
conv-0148,Orbin crashes on my iPhone whenever I open a project with attachments. Call me on 555-605-8597 if easier.,2026-07-31,mobile
conv-0010,Hello — Priya Chen here. Trying to export a filtered view gives me an empty file with only headers. Call me on 555-852-2851 if easier.,2026-09-23,export
conv-0043,"Hi, I'm Elena Okafor from Bluepeak Health. I click Export and the spinner runs forever, then stops without producing a download.",2026-09-08,export
conv-0192,Can we change the default view for new projects at the workspace level? My account ID is ACCT-26974.,2026-09-08,misc
conv-0149,The mobile app closes itself every time I try to add a comment. Call me on 555-822-8232 if easier.,2026-07-14,mobile
conv-0020,This is Marcus at Northwind Logistics. Trying to export a filtered view gives me an empty file with only headers.,2026-07-30,export
conv-0146,The iPhone app force-closes when switching between workspaces. Ticket reference TKT-518605 if that helps.,2026-09-10,mobile
conv-0125,Mention notifications never send. People assume I am ignoring them.,2026-07-01,notifications
conv-0095,Loading the main dashboard is painfully slow and often times out completely.,2026-09-03,dashboard
conv-0094,Hello — Raj Chen here. Dashboard performance has degraded badly. With twenty projects open it is unusable.,2026-09-27,dashboard
conv-0166,Orbin crashes on my iPhone whenever I open a project with attachments.,2026-08-25,mobile
conv-0072,Hello — Marcus Silva here. Our dashboard hangs on load for close to a minute before anything appears. Ticket reference TKT-399742 if that helps.,2026-09-20,dashboard
conv-0032,"Hi, I'm Tom Silva from Northwind Logistics. Exporting my board to CSV silently fails every single time. I've tried three browsers.",2026-07-15,export
conv-0065,The overview page is extremely slow since we passed fifty active projects. Ticket reference TKT-663317 if that helps.,2026-08-05,dashboard
conv-0176,This is Tom at Northwind Logistics. The billing portal is confusing. I cannot tell which plan we are actually on. My account ID is ACCT-27391.,2026-07-06,billing
conv-0075,Every morning the dashboard spins for ages before showing any of our data. My account ID is ACCT-51430.,2026-09-26,dashboard
conv-0096,Our dashboard hangs on load for close to a minute before anything appears. Call me on 555-287-6693 if easier.,2026-08-15,dashboard
conv-0023,"This is Ben at Corvid Analytics. I click Export and the spinner runs forever, then stops without producing a download.",2026-07-13,export
conv-0024,CSV export has been broken for us all week. This blocks the weekly report I send to my director.,2026-08-28,export
conv-0090,Dashboard load times have roughly tripled in the last month for our whole team. Ticket reference TKT-124361 if that helps.,2026-08-30,dashboard
conv-0118,This is Sarah at Northwind Logistics. Mention notifications never send. People assume I am ignoring them.,2026-08-06,notifications
conv-0152,The iPhone app force-closes when switching between workspaces. Call me on 555-588-8363 if easier.,2026-08-28,mobile
conv-0173,"Hi, I'm Raj Hansen from Vertex Media. The invoice page shows a different amount from what we were charged. Call me on 555-391-6234 if easier.",2026-07-01,billing
conv-0069,This is Elena at Corvid Analytics. The dashboard takes over thirty seconds to load every morning. It used to be instant. You can reach me at elena.hansen@corvid.com.,2026-08-16,dashboard
conv-0071,Loading the main dashboard is painfully slow and often times out completely. Ticket reference TKT-450690 if that helps.,2026-09-20,dashboard
conv-0137,"Email notifications arrive hours late, if they arrive at all.",2026-08-09,notifications
conv-0143,Hello — Marcus Hansen here. The mobile app closes itself every time I try to add a comment. Ticket reference TKT-670621 if that helps.,2026-09-25,mobile
conv-0064,"Hi, I'm Sarah Dubois from Vertex Media. Our dashboard hangs on load for close to a minute before anything appears. Ticket reference TKT-962348 if that helps.",2026-09-03,dashboard
conv-0076,Performance on the dashboard is bad enough that people have stopped using it.,2026-09-16,dashboard
conv-0101,"Hi, I'm Sarah Okafor from Bluepeak Health. The dashboard takes over thirty seconds to load every morning. It used to be instant.",2026-07-05,dashboard
conv-0037,The export feature stopped working after the last update. It worked fine before that.,2026-08-18,export
